Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
0,0.014,59.99461,-138.582,2.27664757452168,-142.2329,1.00425209501526,0.014,59.99456,36.4043,2.27583071338007,-143.4902,1.00292669961468,0.014,59.99459,43.83887,2.92888400723099,-142.1958,1.00549716342186
0.033,0.008,59.99493,-138.605,2.27766282476279,-142.293,1.00419787429432,0.01,59.99495,36.37891,2.27606376081623,-143.5483,1.00288754020512,0.01,59.99497,43.76367,2.92859239915702,-142.2549,1.00544043248236
0.067,0.001,59.99503,-138.7505,2.28096552522342,-142.3579,1.00407989402192,0,59.995,36.31592,2.27714952284571,-143.6157,1.00275700883991,0.0012,59.99505,43.60645,2.9327585702465,-142.3213,1.00532747264709
0.1,-0.002,59.99503,-138.7788,2.28301992800679,-142.4199,1.00398350162916,0.0001,59.99504,36.21826,2.27865477026028,-143.6792,1.00266413075313,-0.0009,59.99509,43.52832,2.93336568869557,-142.3833,1.00521200259325
0.133,-0.005,59.99483,-138.8438,2.28366170479252,-142.4844,1.00394584835073,-0.008,59.99478,36.19092,2.28019527356904,-143.7456,1.00261041207591,-0.006,59.99487,43.50781,2.93974939577373,-142.4468,1.00517685953339
0.167,0,59.99483,-138.979,2.28384874029897,-142.54,1.00403370600039,0,59.99477,36.08447,2.28198137302206,-143.8008,1.00269575950701,0,59.99486,43.48682,2.93627161095721,-142.5034,1.0052712437513
0.2,0.006,59.99496,-139.0825,2.28326492659352,-142.5908,1.00412407386861,0.006,59.99487,36.01465,2.28005544510735,-143.8501,1.00280470299258,0.005,59.99495,43.38867,2.93645864646366,-142.5522,1.00538269745544
0.233,0.012,59.99532,-139.0015,2.28386009389202,-142.6362,1.00418783342008,0.016,59.99533,35.97412,2.28070917304365,-143.896,1.00283131130934,0.014,59.99536,43.31738,2.93301551998381,-142.5991,1.00541784051531
0.267,0.01,59.99569,-139.0703,2.28341670620579,-142.6851,1.00405730205487,0.01,59.99573,35.93896,2.28195806827845,-143.9453,1.00273592300399,0.009,59.9957,43.29102,2.9368667782557,-142.6479,1.00531893790398
0.3,0,59.99575,-139.0576,2.2838367891484,-142.7397,1.00398601184772,0,59.9958,35.92529,2.28370831427975,-144,1.00267166140881,0,59.99577,43.25586,2.93927134975084,-142.7021,1.00526371309562
0.333,-0.002,59.99572,-139.1987,2.28355653466748,-142.8003,1.00400358337765,-0.004,59.99573,35.86133,2.28495720951455,-144.061,1.00269324928845,-0.0003,59.99577,43.15576,2.93913092373161,-142.7627,1.00523961499743
0.367,0.0001,59.9957,-139.3022,2.28587924078119,-142.8516,1.00398701593514,-0.002,59.99563,35.80713,2.28491060002732,-144.1143,1.00268421250162,-0.0004,59.99569,43.18799,2.94292421892324,-142.814,1.00525618243993
0.4,0,59.9957,-139.2539,2.28848220137583,-142.8955,1.00406232249199,0,59.99563,35.75049,2.28487534413313,-144.1592,1.00272086169262,0,59.99571,43.10107,2.94012286922911,-142.8594,1.0052913254998
0.433,0.005,59.99582,-139.3369,2.29037287339635,-142.9395,1.00411754730035,0.006,59.99574,35.68506,2.28689449102231,-144.2012,1.00277357628242,0.005,59.99581,43.03369,2.94056685447287,-142.9014,1.00534504417702
0.467,0.009,59.99604,-139.4009,2.29146998901888,-142.9858,1.00408642059019,0.006,59.99592,35.68359,2.28743169524053,-144.25,1.00275951905847,0.007,59.996,42.99951,2.94407929762604,-142.9487,1.00533901965247
0.5,0,59.99613,-139.437,2.29341862411968,-143.0361,1.00398350162916,0,59.99601,35.604,2.28733847626606,-144.3013,1.00267818797707,0,59.99611,42.91455,2.94460455069369,-142.9976,1.00524865178425
0.533,-0.0035,59.99607,-139.6006,2.29242667862219,-143.0923,1.00388158675555,-0.002,59.99597,35.56152,2.28973049905309,-144.3564,1.00253861982504,-0.0025,59.99607,42.83008,2.94655378335202,-143.0527,1.00511812041904
0.567,0,59.99608,-139.6021,2.29607954779459,-143.1318,1.00391572572799,0.001,59.99602,35.54883,2.2918900719615,-144.3975,1.00255769748611,0.002,59.99608,42.82031,2.94884123357155,-143.0942,1.00516832479028
0.6,0.004,59.99615,-139.6323,2.29609149894516,-143.1689,1.00383640282144,0.0002,59.99602,35.38037,2.29332540514522,-144.438,1.00246230918077,0.003,59.99613,42.81494,2.94977521598876,-143.1309,1.00508900188373
0.633,0.008,59.99636,-139.6558,2.29707209084961,-143.2075,1.00395187287528,0.009,59.99627,35.38037,2.29588115869509,-144.4766,1.00257878332203,0.007,59.99632,42.8291,2.94543336298588,-143.1709,1.00519091675733
0.667,0.003,59.99652,-139.7446,2.29729378469273,-143.2524,1.00391170937829,0.0045,59.99649,35.41162,2.29393252359429,-144.5195,1.00254765661187,0.0025,59.99646,42.79346,2.94801301883689,-143.2148,1.00515175734777
0.7,0,59.99652,-139.7676,2.29702488380485,-143.3047,1.00381381085439,0,59.99649,35.27588,2.29306845540792,-144.5723,1.00246833370532,0,59.99646,42.64551,2.94632013835833,-143.2666,1.00507293648493
0.733,-0.014,59.99619,-139.8003,2.29413091269379,-143.3677,1.00368076927062,-0.014,59.99618,35.29834,2.29416557103045,-144.6353,1.00232424715988,-0.012,59.99621,42.56396,2.95003156816854,-143.3301,1.00492332745865
0.767,-0.009,59.99575,-139.8467,2.29835564442107,-143.4233,1.0037736473574,-0.009,59.99573,35.22705,2.29453904448583,-144.6919,1.00243469677659,-0.009,59.99575,42.55615,2.9531364770872,-143.3862,1.00502524233226
0.8,0,59.99572,-139.8765,2.29805208519653,-143.4653,1.00390919915973,0,59.99568,35.16162,2.29596302407651,-144.7349,1.0025652281418,0,59.99574,42.48291,2.95054546764315,-143.4287,1.00516832479028
0.833,0.006,59.99582,-139.9341,2.29918445671325,-143.5049,1.00389664806692,0.005,59.99577,35.12891,2.29411896154322,-144.7725,1.00256874244779,0.005,59.99582,42.50146,2.94630878476529,-143.4668,1.00515326347891
0.867,0.012,59.99613,-139.9326,2.29716530982408,-143.5464,1.00383389260288,0.01,59.99605,35.12549,2.29420082692464,-144.8154,1.00248339501669,0.01,59.99611,42.48877,2.95009012880634,-143.5088,1.00507544670349
0.9,0.002,59.99643,-140.0225,2.2978070866098,-143.5913,1.00363809555507,0.0045,59.99637,35.12891,2.29597497522708,-144.8604,1.00228910410001,0.0025,59.99641,42.40137,2.95464172450178,-143.5537,1.00489069461735
0.933,0,59.99643,-140.0835,2.29969775863033,-143.646,1.0034889885725,0,59.99637,35.02539,2.29593971933289,-144.9175,1.002146021642,0,59.99641,42.30811,2.95466502924539,-143.6079,1.00474008150365
0.967,-0.0035,59.99626,-140.125,2.30015309746713,-143.6938,1.00361299336945,-0.0035,59.9962,34.97852,2.29816920647214,-144.9663,1.0022599855647,-0.003,59.99622,42.2666,2.95685926049045,-143.6567,1.00483546980899
1,0,59.99625,-140.124,2.29994275721706,-143.7339,1.00364964256045,0,59.9962,34.91455,2.29847216813915,-145.0068,1.00230265928025,0,59.99622,42.24756,2.95737315996506,-143.6963,1.0048846700928
1.033,-0.0045,59.99618,-140.2339,2.30190394102596,-143.7783,1.00370838167479,-0.0009,59.99617,34.88721,2.29914920081906,-145.0508,1.0023619004383,-0.003,59.99615,42.22852,2.95594918037438,-143.7407,1.00495847051852
1.067,0.0014,59.99613,-140.3506,2.29996606196068,-143.8252,1.00374252064723,-0.0005,59.99612,34.84326,2.29828573019022,-145.0972,1.00236943109399,-0.0018,59.99607,42.15186,2.95280961311905,-143.7891,1.00497102161133
1.1,0.0004,59.9962,-140.25,2.30072496002201,-143.8716,1.00368980605744,0.0035,59.99628,34.75244,2.29611480368878,-145.1426,1.00232424715988,0.005,59.99625,42.13867,2.95325300080528,-143.834,1.00492332745865
1.133,-0.0009,59.99619,-140.3511,2.30563867557978,-143.9199,1.00354923381798,-0.0014,59.99626,34.64941,2.29666336150004,-145.1904,1.00219471988209,-0.003,59.9962,41.99756,2.95271639414459,-143.8828,1.00478777565632
1.167,-0.0016,59.99609,-140.4082,2.29717666341712,-143.9697,1.00353919294374,-0.0045,59.99611,34.65088,2.29586980510205,-145.2402,1.00217112382761,-0.0045,59.99606,42.00537,2.95174775339071,-143.9331,1.00476769390783
1.2,-0.0035,59.99599,-140.4429,2.29448108140555,-144.0215,1.00363207103052,-0.001,59.99602,34.50195,2.29404904731237,-145.2886,1.00226500600182,-0.0016,59.99597,41.93506,2.94921470702693,-143.9834,1.00485956790719
1.233,0.0001,59.996,-140.5679,2.29797021981511,-144.0601,1.00367072839637,0.0035,59.99609,34.49463,2.29414226628683,-145.3286,1.00231169606707,0.005,59.99607,41.92627,2.94839784588532,-144.0229,1.00490575592872
1.267,-0.0018,59.99604,-140.4893,2.29374548808783,-144.105,1.0036230342437,-0.002,59.99611,34.51074,2.29277684733395,-145.373,1.00226751622038,-0.002,59.99608,41.89014,2.94595861605353,-144.0669,1.00488316396167
1.3,-0.002,59.99596,-140.7197,2.29347718475749,-144.1567,1.0036230342437,-0.0006,59.99607,34.42578,2.29087422416286,-145.4238,1.00226149169583,-0.0012,59.99606,41.86426,2.94634404065948,-144.1167,1.00486057199461
1.333,-0.0001,59.99592,-140.6606,2.29367557385699,-144.209,1.00354923381798,-0.0012,59.99602,34.37158,2.29144668427527,-145.4795,1.00219974031922,0,59.996,41.67188,2.94581878759183,-144.1719,1.00481438397308
1.367,-0.0035,59.99586,-140.7471,2.29438726487356,-144.2651,1.00350153966531,-0.005,59.99587,34.26514,2.2940370961618,-145.5332,1.00212342967494,-0.005,59.99591,41.64307,2.94748776576924,-144.2275,1.00472401610486
1.4,-0.0045,59.9956,-140.8022,2.28962592648559,-144.3193,1.00346388638689,-0.006,59.99559,34.21875,2.2906411767267,-145.5874,1.00207573552227,-0.007,59.99564,41.60938,2.94849106485978,-144.2822,1.00468385260787
1.433,-0.0035,59.99549,-140.8721,2.28996414404678,-144.374,1.00344380463839,-0.0025,59.99553,34.15967,2.28942753738609,-145.6396,1.00204661698695,-0.002,59.99555,41.50537,2.94378768955208,-144.335,1.00467632195218
1.467,0,59.99547,-140.9956,2.29144668427527,-144.4248,1.00354019703116,0,59.99551,34.06396,2.28947414687332,-145.6914,1.00212845011206,0,59.99554,41.49561,2.94252744072424,-144.3862,1.00475514281502
1.5,0.0045,59.99555,-141.0645,2.2922515942663,-144.4727,1.00347141704257,0.004,59.99562,33.98779,2.28900685688595,-145.7397,1.00208577639652,0.004,59.99561,41.43359,2.94230574688112,-144.4351,1.00471999975516
1.533,0.006,59.99571,-141.1367,2.29327879565799,-144.522,1.00346489047431,0.0025,59.99572,33.93066,2.28856346919972,-145.7896,1.00204912720551,0.0035,59.99571,41.3125,2.94146498343837,-144.4839,1.00470744866235
1.567,0.001,59.99581,-141.1563,2.29170303645504,-144.5723,1.00346639660545,0.0007,59.99578,33.91016,2.29104930851874,-145.8408,1.00206569464802,0,59.99576,41.28662,2.94266726918593,-144.5352,1.00468887304499
1.6,0.0014,59.99584,-141.1465,2.29441056961718,-144.6255,1.0035050539713,0.0018,59.99578,33.92822,2.29156320799334,-145.894,1.0021219235438,0.0014,59.99578,41.23584,2.95026521316223,-144.5879,1.00473656719766
1.633,0.0008,59.99592,-141.1914,2.29709539559323,-144.6699,1.00351660097668,0.0018,59.99586,33.90039,2.2930451506643,-145.9385,1.00213096033063,0.002,59.9959,41.23975,2.94989173970684,-144.6318,1.0047541387276
1.667,-0.0002,59.99587,-141.2173,2.29596302407651,-144.7197,1.00352764593835,-0.0005,59.99577,33.84082,2.29544972215943,-145.9902,1.00214953594798,0.0002,59.99587,41.16895,2.95130376814695,-144.6812,1.00477422047609
1.7,0.0014,59.99591,-141.249,2.29752683212889,-144.7671,1.00354019703116,0.0025,59.99585,33.77002,2.29602158471431,-146.0371,1.00215204616654,0.0014,59.99591,41.14209,2.94984513021961,-144.729,1.00480283696769
1.733,0.006,59.99605,-141.2573,2.30067835053478,-144.8101,1.00348396813538,0.005,59.996,33.73926,2.29989614772983,-146.0811,1.00213096033063,0.006,59.99608,41.10547,2.95446664014589,-144.7715,1.00472502019228
1.767,0.005,59.99621,-141.3623,2.30322275049161,-144.854,1.00352764593835,0.005,59.99613,33.70605,2.2995113206814,-146.1274,1.00215355229768,0.0045,59.9962,41.05225,2.95240088376948,-144.8164,1.0047541387276
1.8,0.003,59.99627,-141.4292,2.303899185614,-144.8911,1.00346489047431,0.0035,59.99619,33.65381,2.30184538038816,-146.165,1.00205163742408,0.002,59.99625,41.01563,2.95596053396742,-144.8525,1.00468234647673
