Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
0,0.00292,60.0218,-22.943,3.55479179542206,174.551,1.094702,0.00478,60.0217,0.342,5.23330491252898,-179.391,1.089528,0.00315,60.0217,-10.025,5.58144712485033,174.877,1.087852
0.033,0.00603,60.022,-22.72,3.55347543680831,174.821,1.09472,0.00587,60.0218,0.531,5.23517552740116,-179.125,1.089546,0.00547,60.0219,-9.769,5.57872780508244,175.143,1.087866
0.067,0.00463,60.0222,-22.48,3.55001133519317,175.089,1.094708,0.00435,60.022,0.831,5.24220765367989,-178.858,1.089522,0.00422,60.022,-9.507,5.57900493321166,175.409,1.087876
0.1,0.00219,60.0222,-22.197,3.55113716821809,175.355,1.094692,0.00346,60.0221,1.084,5.25020972841086,-178.591,1.08952,0.00226,60.0221,-9.232,5.57955052921604,175.674,1.087874
0.133,0.00259,60.0223,-21.915,3.5516654437144,175.624,1.094694,0.0031,60.0222,1.312,5.25543186159568,-178.322,1.089514,0.00084,60.0222,-8.978,5.57916081778434,175.941,1.087874
0.167,0.00137,60.0224,-21.667,3.54850445099059,175.893,1.094686,0.00224,60.0223,1.548,5.2532408173241,-178.053,1.0895,0.00125,60.0222,-8.693,5.57898761270358,176.209,1.087866
0.2,0.00036,60.0224,-21.395,3.546997566788,176.164,1.094696,-0.00069,60.0223,1.818,5.24674562679572,-177.786,1.089476,0.0014,60.0222,-8.44,5.57682254919412,176.477,1.087874
0.233,0.0032,60.0225,-21.118,3.54568986842829,176.437,1.094738,0.00137,60.0223,2.074,5.24034569906175,-177.518,1.089484,0.00237,60.0223,-8.159,5.57315926173611,176.748,1.0879
0.267,0.00259,60.0226,-20.814,3.54381059330207,176.709,1.094736,0.00127,60.0224,2.338,5.23369462396069,-177.247,1.089448,0.003,60.0224,-7.888,5.57084697390801,177.02,1.087906
0.3,0,60.0226,-20.548,3.5450057083593,176.979,1.09467,-0.00071,60.0224,2.586,5.22762378588016,-176.978,1.089382,0.0014,60.0225,-7.614,5.57042262146015,177.29,1.087858
0.333,-0.00084,60.0226,-20.299,3.54465063794374,177.247,1.094638,0.00036,60.0224,2.892,5.22060031985547,-176.709,1.089344,0,60.0225,-7.334,5.57245778115905,177.559,1.087832
0.367,0.00127,60.0226,-20.02,3.54323901653558,177.518,1.094656,0.00178,60.0224,3.184,5.21270216817295,-176.439,1.089314,0.00188,60.0225,-7.063,5.56994630748807,177.829,1.087826
0.4,0.0001,60.0226,-19.748,3.54103065175593,177.796,1.094698,0.00257,60.0225,3.447,5.21187078378532,-176.166,1.089296,0.00015,60.0225,-6.787,5.56512254598899,178.103,1.087848
0.433,0.00498,60.0227,-19.461,3.53812080639921,178.076,1.094712,0.00122,60.0226,3.73,5.21840927558389,-175.891,1.089294,0.0027,60.0226,-6.491,5.56583268682009,178.378,1.087876
0.467,0.00529,60.0229,-19.202,3.53635411457549,178.352,1.094712,0.00631,60.0227,4,5.22213318482016,-175.614,1.089288,0.00557,60.0228,-6.222,5.56502728319458,178.655,1.08785
0.5,0,60.023,-18.92,3.54049371600558,178.625,1.094666,0.00392,60.0229,4.288,5.22941645846599,-175.338,1.089266,0.00264,60.0229,-5.935,5.56576340478779,178.929,1.087818
0.533,0.00242,60.023,-18.639,3.54362006771324,178.899,1.094622,0.00313,60.023,4.56,5.23967885950084,-175.06,1.089254,0.00168,60.023,-5.67,5.5678938272811,179.206,1.08781
