Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
0,0.01,60.004,-33.99489,2.3784371971064,139.83199,1.0164211240741,0.01,60.004,-43.3526,5.06059173246939,137.33934,1.02402500082645,-0.00306,60.00599,-0.53585,0.63096804563947,-113.42718,1.0165149269254
0.033,0,60.003,-33.94014,2.37842512644432,139.87974,1.01645278169549,0,60.003,-43.31005,5.05913853231557,137.38517,1.02401443707368,-0.00482,60.00531,-0.74965,0.630231795008468,-113.36043,1.01648191790274
0.067,0,60.004,-33.90561,2.37770136476567,139.92557,1.01653731852681,0,60.004,-43.27012,5.05843018762115,137.4291,1.0240882812274,-0.00648,60.00465,-0.89781,0.630254920484825,-113.3016,1.01640130208302
0.1,0,60.004,-33.83665,2.37769293920452,139.98478,1.01657963483744,0,60.004,-43.20485,5.05988159510239,137.48448,1.02415167684738,-0.01168,60.00405,-0.89918,0.630006934110451,-113.25055,1.01635897071108
0.133,0,60.004,-33.79118,2.37916854776567,140.04208,1.0166007624936,0,60.004,-43.14062,5.05769011262197,137.54561,1.02415179276927,-0.01422,60.00399,-0.83249,0.629031600712252,-113.20296,1.01639095215067
0.167,0,60.004,-33.74698,2.37845195677736,140.09364,1.01661132629658,0,60.004,-43.09508,5.05769076993525,137.59525,1.02416236806905,-0.00967,60.00437,-0.87414,0.628028540644725,-113.15231,1.01638379687306
0.2,0,60.004,-33.7182,2.37990515693119,140.14711,1.01657963388356,0,60.004,-43.02991,5.05771025031068,137.65636,1.02416224060015,-0.00629,60.00426,-0.97417,0.627869889120879,-113.10003,1.01626199288514
0.233,-0.01,60.003,-33.6532,2.37989218993282,140.2025,1.0165584809746,0,60.004,-42.98979,5.05989713159814,137.70793,1.0241411130444,-0.00769,60.00336,-0.95651,0.628448743098845,-113.05537,1.01612579590643
0.267,0,60.004,-33.57853,2.38135363638054,140.25407,1.01651622566228,0,60.004,-42.9251,5.06053663766526,137.7576,1.0242151751855,-0.00795,60.00273,-0.79132,0.62906100054266,-113.02034,1.01604500803633
0.3,0,60.004,-33.53275,2.38134807909553,140.29799,1.01647397687653,0,60.004,-42.87124,5.06062107254405,137.81106,1.02415167689758,-0.0081,60.00264,-0.57427,0.629562709843682,-112.98849,1.01598684546899
