DFDT,FREQ,IA_MAG,IA_ANG,IB_MAG,IB_ANG,IC_MAG,IC_ANG,VA_MAG,VA_ANG,VB_MAG,VB_ANG,VC_MAG,VC_ANG,TIMESTAMP,ERROR_CODE
0.0045,60.00348,1.31449808807613,-72.41211,0.56659717671762,-69.271,0.110374552331022,136.0513,1.04186621403111,116.9907,1.04216643617108,116.9468,1.04202937823762,117.1182,00:00.0,201
-0.0018,60.00351,1.31726418187607,-72.51563,0.567101933562038,-69.40576,0.118064281143709,137.124,1.04176078485151,117.0342,1.04205197020467,116.9883,1.04192545518916,117.1572,00:00.0,201
-0.001,60.00347,1.31717693847689,-72.50098,0.566550507474636,-69.0,0.109933973165177,141.8252,1.04169049873179,117.064,1.04196913299213,117.0195,1.04184864250117,117.1919,00:00.1,201
-0.0035,60.00333,1.31640071124722,-72.34912,0.565412578672901,-69.20801,0.106531839131782,138.4536,1.04178488294971,117.1045,1.0420735580843,117.0586,1.04191792453348,117.2314,00:00.1,201
0.005,60.00343,1.31131191133357,-72.47412,0.56550298912698,-69.16699,0.10655520363115,138.7354,1.04190888774665,117.1514,1.04219404857526,117.105,1.04206201107892,117.2759,00:00.1,201
-0.0045,60.00342,1.31311533995492,-72.46484,0.568330332573604,-69.45752,0.105939540109422,137.5024,1.04198319021608,117.1919,1.04226935513211,117.147,1.04214233807289,117.3164,00:00.2,201
0.005,60.00348,1.30925213053245,-72.37256,0.564067476675997,-69.40576,0.104897877825547,137.3667,1.04202937823762,117.2363,1.04233964125184,117.1904,1.04219003222556,117.3608,00:00.2,201
0.004,60.00362,1.30746662863696,-72.18848,0.564855236765965,-69.36719,0.104005784191083,135.2197,1.04206703151604,117.2813,1.04235972300033,117.2349,1.04222768550399,117.4072,00:00.2,201
0.0,60.00365,1.30850518362168,-72.21436,0.56451385214987,-69.19727,0.103645457001331,136.9541,1.04206351721005,117.3232,1.04235570665064,117.2773,1.04221664054232,117.4492,00:00.3,201
-0.004,60.00352,1.30700531422487,-72.26025,0.566454181201024,-69.2085,0.101761298357866,137.5474,1.04198670452207,117.3584,1.04225529790817,117.314,1.04213631354834,117.4849,00:00.3,201
0.0009,60.00349,1.30776421228621,-72.25635,0.566652630056275,-69.29297,0.100890358259916,139.2568,1.04184111184549,117.3979,1.04216493003995,117.3535,1.04203841502444,117.5239,00:00.3,201
-0.004,60.00342,1.30597273481543,-72.11523,0.567169039272501,-69.0376,0.101074166955716,138.7036,1.04187776103649,117.4399,1.04215990960282,117.3945,1.04203088436875,117.5645,00:00.4,201
