DFDT,FREQ,IA_MAG,IA_ANG,IB_MAG,IB_ANG,IC_MAG,IC_ANG,VA_MAG,VA_ANG,VB_MAG,VB_ANG,VC_MAG,VC_ANG,TIMESTAMP,ERROR_CODE
NaN,60.0,1.3918237054395,-14.2979,1.70968469259655,-31.89219,1.94737431417171,-28.51899,1.00674224372689,-17.5802,1.00346577251491,-21.61727,1.0031141619838,-21.62204,00:00.0,201
NaN,60.0,1.39030238372741,-14.04979,1.70974582273173,-31.95327,1.9498020111432,-28.59407,1.00674156521482,-17.57925,1.00336164734366,-21.66504,1.00304024719253,-21.66961,00:00.0,201
NaN,59.997,1.38295260539275,-14.79023,1.71232225177209,-32.03373,1.9488099461342,-28.69343,1.00672279490491,-17.57668,1.00343533576342,-21.76616,1.00309900428004,-21.77357,00:00.1,201
NaN,59.998,1.39178002398416,-14.43019,1.71232225177209,-32.03373,1.9488099461342,-28.69343,1.00670093672494,-17.57805,1.0034932748711,-21.75926,1.00313571446935,-21.76649,00:00.1,201
NaN,60.0,1.38137965471019,-14.54108,1.71077648995707,-32.06613,1.94885231296298,-28.63983,1.00669888582617,-17.57544,1.0033263286187,-21.73371,1.00301476360431,-21.74301,00:00.1,201
NaN,60.0,1.3961594633556,-14.47995,1.71077648995707,-32.06613,1.9498020111432,-28.59407,1.00673385196583,-17.56954,1.00332046158526,-21.69579,1.00304945397136,-21.70187,00:00.2,201
NaN,60.001,1.38585171549856,-14.22848,1.70819874629015,-31.98564,1.9498020111432,-28.59407,1.00663644725212,-17.56505,1.00334357271572,-21.68675,1.00305134793126,-21.69265,00:00.2,201
NaN,60.0,1.39011522870945,-14.90535,1.70552037393541,-32.04185,1.94729525731068,-28.61191,1.00663716045542,-17.56576,1.00334991654007,-21.67694,1.00307097241834,-21.68187,00:00.2,201
NaN,60.0,1.39457163349058,-14.36483,1.70397479138766,-32.07438,1.94547204953513,-28.61061,1.00668773247326,-17.56124,1.00331070100202,-21.66799,1.00299850311133,-21.67434,00:00.3,201
NaN,60.0,1.3918237054395,-14.2979,1.70054110631675,-32.04783,1.94387119291598,-28.63635,1.00664764644162,-17.55792,1.0032896564843,-21.66043,1.00301068028198,-21.66536,00:00.3,201
NaN,60.0,1.40058850000192,-14.30229,1.69968701734111,-32.10214,1.94299786258791,-28.58915,1.00667078041507,-17.5582,1.00328984911847,-21.65305,1.00301875957103,-21.65912,00:00.3,201
NaN,60.0,1.39011522870945,-14.90535,1.69968701734111,-32.10214,1.94299786258791,-28.58915,1.0066589671257,-17.55385,1.00326470260239,-21.64822,1.00300251996307,-21.6539,00:00.4,201
NaN,60.0,1.3918237054395,-14.2979,1.6982113490242,-32.19633,1.94382864681994,-28.69009,1.00659725184603,-17.55496,1.00325952492518,-21.64293,1.00295930338765,-21.64768,00:00.4,201
NaN,60.0,1.38585171549856,-14.22848,1.69918381414626,-32.24837,1.94288157789285,-28.73603,1.00663238752585,-17.54906,1.00318272764993,-21.66861,1.00290478309724,-21.67203,00:00.4,201
NaN,60.0,1.37983287704738,-14.29136,1.6982113490242,-32.19633,1.94382864681994,-28.69009,1.00664651975512,-17.54854,1.00322665366332,-21.63156,1.00293532326973,-21.63592,00:00.5,201
NaN,60.0,1.38412573033292,-14.83847,1.69975489987636,-32.16357,1.94295382259806,-28.64291,1.00664862939301,-17.5406,1.00322377459324,-21.62539,1.00293243651839,-21.62975,00:00.5,201
NaN,60.0,1.38734202397492,-14.83866,1.69975489987636,-32.16357,1.94295382259806,-28.64291,1.00665284254384,-17.53524,1.00326082572044,-21.61831,1.00294720855217,-21.62401,00:00.5,201
NaN,60.0,1.3829483627343,-15.15339,1.69968701734111,-32.10214,1.94299786258791,-28.58915,1.00670621074435,-17.53429,1.00331200445811,-21.60995,1.00301175500695,-21.61469,00:00.6,201
NaN,60.0,1.39779772707604,-14.36673,1.70054110631675,-32.04783,1.94299786258791,-28.58915,1.00670621074435,-17.53429,1.00327773615921,-21.60335,1.00301550863718,-21.60902,00:00.6,201
NaN,60.0,1.38580414991929,-14.36134,1.70215224092539,-32.0766,1.94387119291598,-28.63635,1.00668681413491,-17.53077,1.00325162275715,-21.62608,1.00292703563254,-21.63185,00:00.6,201
NaN,60.0,1.3961594633556,-14.47995,1.70397479138766,-32.07438,1.94387119291598,-28.63635,1.00667470072381,-17.53389,1.00322083015707,-21.62119,1.00293244048453,-21.62975,00:00.7,201
NaN,60.0,1.38598765983632,-13.86553,1.70397479138766,-32.07438,1.94387119291598,-28.63635,1.00675815409459,-17.53142,1.00324273818998,-21.61692,1.002986538757,-21.62558,00:00.7,201
NaN,60.0,1.38574672464079,-14.72384,1.70236359702326,-32.04564,1.94299786258791,-28.58915,1.00673641610389,-17.53278,1.00328929682018,-21.61454,1.00302292964652,-21.62296,00:00.7,201
NaN,60.0,1.38585428499594,-14.22796,1.70236359702326,-32.04564,1.94299786258791,-28.58915,1.00675396775289,-17.53677,1.00328417200817,-21.60926,1.00305139918992,-21.61919,00:00.8,201
NaN,60.0,1.37703929560112,-14.35727,1.70476631609006,-31.95897,1.94299786258791,-28.58915,1.0067109972793,-17.54044,1.0033174437001,-21.60785,1.00304313288959,-21.61512,00:00.8,201
NaN,60.0,1.38137965471019,-14.54108,1.70631387057765,-31.92656,1.94299786258791,-28.58915,1.00679522239168,-17.53892,1.00330886382326,-21.61116,1.00301337786325,-21.61826,00:00.8,201
NaN,60.0,1.38134983658951,-14.90476,1.70535012979551,-31.87456,1.94299786258791,-28.58915,1.00680003533414,-17.54507,1.00337412403359,-21.60771,1.00307989468899,-21.61543,00:00.9,201
NaN,60.0,1.3786167877209,-14.47323,1.70374198297451,-31.84565,1.94299786258791,-28.58915,1.00675711581799,-17.54874,1.0033373613305,-21.6074,1.00305995356294,-21.61588,00:00.9,201
NaN,60.0,1.38739437001443,-14.47666,1.70374198297451,-31.84565,1.94299786258791,-28.58915,1.00674803048354,-17.55848,1.00334527615004,-21.60854,1.00307989468899,-21.61543,00:00.9,201
NaN,60.0,1.3769688435685,-14.72198,1.70374198297451,-31.84565,1.94299786258791,-28.58915,1.00676049758443,-17.56379,1.00336996927044,-21.61044,1.00310277256994,-21.61917,00:01.0,201
