Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
0,0.01476,60.00367,-93.99208,0.654770494920889,159.36375,1.02313483424912,-0.01,60.001,-122.24883,2.23031129059208,51.3695,1.01643099505675,-0.01118,60.00147,70.54054,3.70147922248236,67.98292,1.04062499725366
0.033,0.01352,60.0039,-94.11529,0.654961593818539,159.40971,1.02310468280907,0,60.002,-122.2296,2.22958352527799,51.38859,1.01646277472497,-0.00524,60.00191,70.56374,3.70086576992349,68.00442,1.04063867834646
0.067,0.01066,60.00375,-94.26419,0.6560227962336,159.4557,1.02304169555145,0,60.002,-122.22589,2.22813486656137,51.41533,1.01645214876898,0.00241,60.00239,70.58596,3.70062346034564,68.03165,1.0407113788446
0.1,0.00636,60.00351,-94.42195,0.656062593565006,159.49879,1.02306613594304,0,60.002,-122.21593,2.22886036115686,51.4478,1.01649445478772,0.00762,60.00268,70.60909,3.70118869001195,68.0631,1.04080320233836
0.133,0.00225,60.0035,-94.56402,0.655196015637014,159.54058,1.02312183769293,0,60.002,-122.20536,2.22960091420207,51.47263,1.01649443033819,0.00933,60.00278,70.63013,3.70235416621576,68.09618,1.04086721005004
0.167,-0.00147,60.00342,-94.72621,0.654519162224356,159.5823,1.0231526980187,0,60.002,-122.1894,2.23031690763285,51.50318,1.01645221087179,0.00839,60.00287,70.65179,3.70375872518676,68.13031,1.04091528635838
0.2,-0.00699,60.00273,-94.85695,0.654480440496502,159.6185,1.02313624865687,0,60.002,-122.16165,2.23178887109308,51.53183,1.01648390238113,0.00603,60.00292,70.6802,3.70503702025196,68.16532,1.04095987707764
0.233,-0.00988,60.00211,-94.87623,0.654810591031059,159.64614,1.02308966889063,0,60.002,-122.13486,2.23249918772734,51.55666,1.0165050186409,0.00286,60.00287,70.71012,3.70562943878583,68.20017,1.04099367521261
0.267,-0.00847,60.00209,-94.85019,0.655027444658192,159.67112,1.02304513640844,0,60.002,-122.10677,2.23396320367244,51.59104,1.01649445478772,-0.00043,60.00261,70.73541,3.70538252801501,68.23258,1.04101633339923
0.3,-0.0094,60.00193,-94.79551,0.655011848406695,159.6955,1.02299907881786,0,60.001,-122.08104,2.2346892360697,51.61587,1.01645214886939,-0.00159,60.00251,70.76082,3.70488673453352,68.26289,1.04103438282457
0.333,-0.01233,60.00137,-94.64371,0.654985675386942,159.71453,1.02295049895967,0.01,60.003,-122.08081,2.23470823839911,51.64451,1.01640986735039,-0.00175,60.00257,70.7917,3.70466653458422,68.29363,1.04102381555749
0.367,-0.01109,60.00088,-94.43736,0.655171037732318,159.72715,1.02289522143673,0,60.001,-122.046,2.23615779345201,51.67698,1.01638879030024,-0.0018,60.00262,70.82448,3.70478951192361,68.32485,1.04099007309917
0.4,-0.00914,60.00059,-94.21685,0.655694079837111,159.73534,1.02281375615904,0,60.002,-122.01748,2.23616956533533,51.70372,1.01637823794386,-0.00088,60.00272,70.85634,3.70510980275895,68.3573,1.04093287475698
