Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
0,0,60.016,165.22198,5.08795885143199,-13.65769,1.02092614429576,0,60.016,-179.22404,3.07774006928952,-12.90683,1.01233087354093,-0.00368,60.01558,138.98745,0.728530247488032,96.05724,1.01709116717594
0.033,0,60.016,165.42284,5.09013575350872,-13.45523,1.02091553676478,0.01,60.017,-179.04666,3.07917420735818,-12.71011,1.01230981672314,-0.00182,60.01587,139.35037,0.726204015784901,96.24611,1.01707880580545
0.067,0,60.016,165.61293,5.09085933592012,-13.25662,1.02089442683076,0,60.016,-178.81955,3.07991231041752,-12.50003,1.01228861827882,0.00233,60.01626,139.77789,0.723646290295187,96.4397,1.01710966196426
0.1,0,60.016,165.81769,5.09087284072027,-13.05036,1.0209155542861,0.01,60.017,-178.64533,3.08063756599,-12.2995,1.01228861827882,0.00378,60.01636,140.2581,0.721023610302112,96.63566,1.0171647844059
0.133,0,60.016,166.03367,5.09012189017406,-12.84599,1.02089457367855,0,60.016,-178.43488,3.08137423491127,-12.09514,1.01228867992979,0.00679,60.01676,140.71602,0.71895779416995,96.83458,1.01723862449307
0.167,0,60.017,166.2454,5.09010742928187,-12.63973,1.0209157276418,0,60.016,-178.21731,3.08136353863151,-11.88697,1.01232030963755,0.01121,60.01746,141.09978,0.717892408852189,97.04102,1.01734867674219
0.2,0,60.016,166.45222,5.09015182780624,-12.44302,1.02093670824935,0,60.017,-178.00919,3.08137489222455,-11.69216,1.01234143729371,0.01285,60.01802,141.42899,0.717537877970464,97.25477,1.01749223016741
0.233,0,60.016,166.65219,5.09085766275904,-12.24057,1.02093669097905,0,60.016,-177.7689,3.08209710025363,-11.47825,1.01237311841074,0.01381,60.01857,141.70442,0.717819208054934,97.47507,1.01765921281799
0.267,0,60.017,166.85723,5.08944228799677,-12.03813,1.02094710698036,0,60.017,-177.59931,3.08209429173325,-11.27963,1.01240482036259,0.01659,60.01913,141.91577,0.71889702256929,97.70219,1.01781390769768
0.3,0,60.017,167.06597,5.08870496176222,-11.83185,1.02095798215084,0,60.017,-177.37413,3.08429575342441,-11.06191,1.01245766543355,0.01555,60.01935,142.06818,0.720679297654126,97.93376,1.0179278913005
0.333,0,60.016,167.27335,5.08726765663865,-11.62942,1.02097896336085,0,60.017,-177.148,3.08502847846599,-10.86519,1.01245765514165,0.00984,60.01909,142.15217,0.722950554064624,98.16432,1.01801200862409
0.367,0,60.017,167.48676,5.08650033301616,-11.42123,1.02100007339528,0,60.017,-176.94171,3.08501909681279,-10.64938,1.01246822938714,0.00385,60.01866,142.19404,0.725368510848397,98.39019,1.01808149448614
0.4,0,60.017,167.68617,5.08649889887809,-11.21881,1.02101080121594,0,60.017,-176.75633,3.08500917735781,-10.44884,1.0125210745585,-0.00145,60.01833,142.23509,0.727815329660802,98.61139,1.01813942967789
0.433,0,60.017,167.8848,5.08501145867787,-11.01253,1.02105305627723,0,60.016,-176.52157,3.08285516173443,-10.23112,1.01257391988048,-0.00568,60.01818,142.25818,0.730361163755697,98.83015,1.01815376503405
0.467,0,60.017,168.09669,5.08357648402866,-10.80626,1.02108474728453,0,60.017,-176.3228,3.0850213675314,-10.01912,1.0126161751928,-0.00967,60.01774,142.27609,0.732657278559386,99.04542,1.01808340270409
0.5,0,60.016,168.29904,5.08355987192937,-10.59999,1.02112702855251,0,60.016,-176.11502,3.08574560725607,-9.81286,1.0126161751426,-0.01248,60.01701,142.33309,0.734194077011468,99.25273,1.01797650620134
0.533,0,60.017,168.50138,5.08286258204923,-10.39565,1.02112686483605,0,60.017,-175.90746,3.08575014869329,-9.60468,1.01261616490091,-0.01223,60.01662,142.39823,0.735175505496459,99.45357,1.01788537843976
