Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
0,0,59.991,-31.08977,4.66633582379978,141.60999,1.02062916279774,0,59.99,-33.52798,3.29931129359942,139.81091,1.02172681420132,NaN,59.99,142.73488,1.05657481004767,134.56431,1.02363193945787
0.033,-0.01,59.991,-31.20017,4.66448333570534,141.48967,1.02067147057363,-0.01,59.989,-33.6707,3.2992930680948,139.68868,1.02180045954573,NaN,59.991,143.33934,1.05208685422904,134.45281,1.02317445127153
0.067,0.01,59.991,-31.33201,4.66449564539043,141.37698,1.02061856596029,0.01,59.99,-33.81415,3.30049051362639,139.58173,1.02170579107066,NaN,59.991,142.17116,1.04313078150172,134.33426,1.02351534748695
0.1,-0.01,59.991,-31.45298,4.66448817592132,141.25475,1.02066088051376,-0.01,59.99,-33.87625,3.30295854573106,139.46141,1.02177942416521,NaN,59.992,141.84597,1.05567303598124,134.24152,1.02383139685619
0.133,0.01,59.991,-31.54111,4.66627857778854,141.14971,1.02068207182907,0.01,59.99,-33.98432,3.29928195352477,139.35254,1.02184254566932,NaN,59.991,142.33422,1.04189545082282,134.11654,1.02316406694918
0.167,-0.01,59.991,-31.69652,4.66268169975657,141.02366,1.02056579127586,-0.01,59.989,-34.12817,3.30294856652033,139.22076,1.02167423039391,NaN,59.99,142.41906,1.03000178528484,133.98606,1.02358356393147
0.2,0,59.991,-31.80543,4.66268414974244,140.89571,1.0206504121995,0,59.99,-34.21342,3.30052296100019,139.10045,1.02177942416521,NaN,59.99,142.02939,1.02469374151394,133.87183,1.02334283929307
0.233,0.01,59.991,-31.91298,4.66814361459109,140.78493,1.02059747143901,0,59.989,-34.38549,3.30292161667579,138.98203,1.02170581260834,NaN,59.991,142.28844,1.03574670336491,133.75714,1.0230499780678
0.267,0,59.991,-32.02945,4.66633367259268,140.6646,1.0205340099509,0,59.989,-34.48729,3.30290864967742,138.86362,1.02164270375573,NaN,59.99,141.5413,1.02365566457524,133.63914,1.02364956807017
0.3,0,59.991,-32.14401,4.66631592513408,140.54619,1.02067141138267,0.01,59.991,-34.59022,3.30413896087307,138.74521,1.02181098494237,NaN,59.991,141.09293,1.02718896248617,133.53181,1.02372815352472
0.333,0,59.991,-32.29101,4.66627666560445,140.42969,1.02071372578554,0,59.989,-34.703,3.3029188081554,138.63062,1.02182149638218,NaN,59.991,141.48644,1.03238239472308,133.43175,1.0239775331959
0.367,0,59.991,-32.37106,4.66630624470212,140.3151,1.02074544335095,0,59.99,-34.8172,3.30172757722212,138.51603,1.0218740802398,NaN,59.991,141.48644,1.03238239472308,133.29455,1.02358116471478
0.4,0,59.991,-32.49363,4.66447807719909,140.19096,1.02060807846795,-0.01,59.989,-34.96579,3.30290847041016,138.38616,1.02175838642508,NaN,59.99,140.6475,1.03077233571799,133.17833,1.02377007030896
0.433,0.01,59.991,-32.60785,4.66631825560844,140.07828,1.020713763238,0.02,59.991,-35.03469,3.30416328146449,138.28111,1.02186356879998,NaN,59.992,140.30348,1.04984667081002,133.1072,1.02412155306994
0.467,0.01,59.991,-32.63298,4.66633229821037,139.98661,1.02081948003843,0.02,59.991,-35.11715,3.30172452967872,138.18944,1.021989811758,NaN,59.993,139.98492,1.04771518310547,133.00417,1.02410698627162
0.5,-0.01,59.991,-32.78395,4.6627136093286,139.86629,1.02084063365025,-0.01,59.99,-35.20116,3.29931792648799,138.07485,1.021989811758,NaN,59.991,141.1462,1.03331912590493,132.86622,1.02343360226969
0.533,0,59.991,-32.96523,4.66632512752002,139.75742,1.02068207177886,0,59.99,-35.4333,3.30168270065172,137.95453,1.02175837497848,NaN,59.991,141.02291,1.03910228766683,132.75831,1.02304069111259
0.567,0,59.991,-33.05538,4.66997692108887,139.64856,1.02070319943502,0,59.989,-35.49349,3.30537966956973,137.84948,1.02183199426682,NaN,59.992,140.04309,1.03577771660065,132.68431,1.02420561135319
0.6,0.01,59.991,-33.12226,4.66631281783493,139.55307,1.02091459538261,0.03,59.992,-35.56354,3.29806693980184,137.76545,1.02210549096325,NaN,59.994,139.71965,1.03367305922913,132.61593,1.02436407743464
0.633,0.01,59.992,-33.23243,4.66085060422165,139.46521,1.02103091333807,0.01,59.992,-35.64431,3.30172972842922,137.67951,1.02216861246736,NaN,59.992,139.71965,1.03367305922913,132.48624,1.02393400806442
0.667,-0.02,59.991,-33.32984,4.66085813344651,139.35444,1.02091466471485,-0.03,59.99,-35.77041,3.29931141311093,137.55727,1.02201084723893,NaN,59.991,140.26194,1.04053833791959,132.38895,1.02262849831407
0.7,0.01,59.992,-33.48638,4.65903970613119,139.26086,1.0207348534919,0.02,59.992,-35.97122,3.29928195352477,137.46751,1.02174786343825,NaN,59.992,139.84097,1.0458852826856,132.26812,1.02323550977762
0.733,-0.01,59.992,-33.54546,4.6590607401562,139.14627,1.02081944243536,-0.02,59.99,-35.99124,3.29808683846755,137.35865,1.02193722795059,NaN,59.991,139.92281,1.02354541521121,132.16335,1.02378494952907
0.767,0.01,59.992,-33.62607,4.66265044749783,139.04886,1.02093577525132,0,59.991,-36.1045,3.2980837311684,137.26125,1.02206341864586,NaN,59.993,138.68799,1.0426970144917,132.09639,1.02422627652668
0.8,0,59.992,-33.67444,4.65538773329509,138.96101,1.02100978568191,0.01,59.992,-36.12778,3.29444986432541,137.17722,1.02216863410545,NaN,59.993,139.44438,1.04088492128618,132.0053,1.02401411370732
0.833,0.01,59.992,-33.75439,4.65902847204966,138.87315,1.02103084275073,0,59.992,-36.25289,3.29442004620473,137.07981,1.02216863405524,NaN,59.992,139.44438,1.04088492128618,131.88858,1.02386910847209
0.867,-0.01,59.992,-33.89569,4.65902339281066,138.76621,1.02097809422278,-0.01,59.99,-36.36762,3.29686662599412,136.97095,1.02206344028395,NaN,59.991,140.26194,1.04053833791959,131.77581,1.02317181453795
0.9,0,59.992,-34.0252,4.65536281514614,138.65352,1.02085118620745,0,59.99,-36.51271,3.29807136172756,136.85826,1.02193718803812,NaN,59.991,138.92481,1.02056491777,131.65597,1.02329466598988
0.933,0,59.992,-34.15874,4.65539538203145,138.55039,1.02080887863238,0,59.991,-36.64862,3.29804243994317,136.75705,1.02187408029,NaN,59.993,139.88096,1.03229951349386,131.58682,1.02240839446849
0.967,0.01,59.992,-34.26658,4.65717568517644,138.46445,1.0206820342762,0.01,59.992,-36.74282,3.29565077569066,136.66919,1.02168472807773,NaN,59.992,139.33093,1.02549112228012,131.46902,1.02314487557521
1,-0.02,59.992,-34.32156,4.65722307148846,138.34986,1.02076662337027,-0.02,59.991,-36.75538,3.29685598947011,136.55651,1.02190566717343,NaN,59.992,138.36407,1.04073105022257,131.3867,1.02390613429629
1.033,0.01,59.992,-34.39734,4.65356237431244,138.25818,1.02086177621711,0.03,59.993,-36.80738,3.29441669988257,136.48011,1.02202135882937,NaN,59.992,139.25332,1.02259195241856,131.2698,1.02362722305842
1.067,-0.01,59.992,-34.47829,4.65537375044892,138.14932,1.02076659711338,-0.02,59.99,-36.962,3.29684541270186,136.35789,1.02189517717088,NaN,59.99,139.05706,1.03274570970047,131.14068,1.02360081892285
1.1,-0.01,59.992,-34.61127,4.65354271466975,138.03282,1.02076666077252,0,59.991,-37.03884,3.29689363559442,136.24138,1.02193720179411,NaN,59.992,138.24755,1.04981643439908,131.06103,1.02383755627988
1.133,0.01,59.992,-34.69377,4.65174024214044,137.94306,1.02077718717324,0.01,59.991,-37.1415,3.29442225716759,136.14971,1.02197930021777,NaN,59.992,138.18782,1.04055369514807,130.95318,1.02378649502044
1.167,-0.01,59.992,-34.77957,4.64989301255225,137.82465,1.02077725665609,-0.01,59.99,-37.2276,3.29320096909061,136.03703,1.02194776102849,NaN,59.991,138.62072,1.03661375933893,130.82918,1.02361799926032
