DFDT,FREQ,IA_MAG,IA_ANG,IB_MAG,IB_ANG,IC_MAG,IC_ANG,VA_MAG,VA_ANG,VB_MAG,VB_ANG,VC_MAG,VC_ANG,TIMESTAMP,ERROR_CODE
0.00315,60.0217,3.55479179542206,-22.943,5.23330491252898,0.342,5.58144712485033,-10.025,1.094702,174.551,1.089528,-179.391,1.087852,174.877,00:00.0,202
0.00587,60.0219,3.55347543680831,-22.72,5.23517552740116,0.531,5.57872780508244,-9.769,1.09472,174.821,1.089546,-179.125,1.087866,175.143,00:00.0,202
0.00435,60.022,3.55001133519317,-22.48,5.24220765367989,0.831,5.57900493321166,-9.507,1.094708,175.089,1.089522,-178.858,1.087876,175.409,00:00.1,202
0.00226,60.0221,3.55113716821809,-22.197,5.25020972841086,1.084,5.57955052921604,-9.232,1.094692,175.355,1.08952,-178.591,1.087874,175.674,00:00.1,202
0.00259,60.0222,3.5516654437144,-21.915,5.25543186159568,1.312,5.57916081778434,-8.978,1.094694,175.624,1.089514,-178.322,1.087874,175.941,00:00.1,202
0.00137,60.0223,3.54850445099059,-21.667,5.2532408173241,1.548,5.57898761270358,-8.693,1.094686,175.893,1.0895,-178.053,1.087866,176.209,00:00.2,202
0.00036,60.0223,3.546997566788,-21.395,5.24674562679572,1.818,5.57682254919412,-8.44,1.094696,176.164,1.089476,-177.786,1.087874,176.477,00:00.2,202
0.00237,60.0223,3.54568986842829,-21.118,5.24034569906175,2.074,5.57315926173611,-8.159,1.094738,176.437,1.089484,-177.518,1.0879,176.748,00:00.2,202
0.00259,60.0224,3.54381059330207,-20.814,5.23369462396069,2.338,5.57084697390801,-7.888,1.094736,176.709,1.089448,-177.247,1.087906,177.02,00:00.3,202
0.0,60.0225,3.5450057083593,-20.548,5.22762378588016,2.586,5.57042262146015,-7.614,1.09467,176.979,1.089382,-176.978,1.087858,177.29,00:00.3,202
0.0,60.0225,3.54465063794374,-20.299,5.22060031985547,2.892,5.57245778115905,-7.334,1.094638,177.247,1.089344,-176.709,1.087832,177.559,00:00.3,202
0.00178,60.0225,3.54323901653558,-20.02,5.21270216817295,3.184,5.56994630748807,-7.063,1.094656,177.518,1.089314,-176.439,1.087826,177.829,00:00.4,202
0.00015,60.0225,3.54103065175593,-19.748,5.21187078378532,3.447,5.56512254598899,-6.787,1.094698,177.796,1.089296,-176.166,1.087848,178.103,00:00.4,202
0.0027,60.0226,3.53812080639921,-19.461,5.21840927558389,3.73,5.56583268682009,-6.491,1.094712,178.076,1.089294,-175.891,1.087876,178.378,00:00.4,202
0.00557,60.0228,3.53635411457549,-19.202,5.22213318482016,4.0,5.56502728319458,-6.222,1.094712,178.352,1.089288,-175.614,1.08785,178.655,00:00.5,202
0.00264,60.0229,3.54049371600558,-18.92,5.22941645846599,4.288,5.56576340478779,-5.935,1.094666,178.625,1.089266,-175.338,1.087818,178.929,00:00.5,202
0.00242,60.023,3.54362006771324,-18.639,5.23967885950084,4.56,5.5678938272811,-5.67,1.094622,178.899,1.089254,-175.06,1.08781,179.206,00:00.5,202
0.00277,60.0231,3.54406174066917,-18.377,5.25229684963398,4.829,5.56804971185378,-5.391,1.094644,179.178,1.089286,-174.778,1.087822,179.486,00:00.6,202
