DFDT,FREQ,IA_MAG,IA_ANG,IB_MAG,IB_ANG,IC_MAG,IC_ANG,VA_MAG,VA_ANG,VB_MAG,VB_ANG,VC_MAG,VC_ANG,TIMESTAMP,ERROR_CODE
0.0,59.98,0.871659736482622,-121.00187,4.32751395267713,-105.67791,2.69038278302046,-95.15044,1.02379268250838,-172.11769,1.02634935105801,72.5265,1.01836433788097,76.31388,00:00.0,204
0.0,59.98,0.871413483025081,-121.21658,4.32682072618818,-105.91636,2.69328225166079,-95.37507,1.023824508214,-172.35318,1.02643386087938,72.29158,1.01842770061709,76.07514,00:00.0,204
0.01,59.98045,0.871086141010908,-121.42344,4.32608399751116,-106.15245,2.69331541610363,-95.56287,1.02383839629942,-172.58763,1.02650794445775,72.0643,1.01844890378063,75.8536,00:00.1,204
0.0,59.98,0.870919661483437,-121.61084,4.32533340549947,-106.39398,2.69329999911939,-95.75256,1.02383161951257,-172.82357,1.02655006276234,71.82749,1.01851223724759,75.62824,00:00.1,204
0.0,59.98,0.870699401778391,-121.79496,4.32458496469489,-106.64486,2.69401850229179,-95.95631,1.023851326134,-173.05805,1.02662406184675,71.59831,1.01856508241896,75.39906,00:00.1,204
0.00726,59.981,0.870565907426499,-122.02352,4.3246052218951,-106.86887,2.69548353408469,-96.18253,1.02390076478817,-173.28386,1.02670859827643,71.37486,1.01862851970857,75.17369,00:00.2,204
0.0,59.981,0.870880342198054,-122.29306,4.32243859780787,-107.11133,2.69695179268824,-96.38611,1.02393859895294,-173.49952,1.0267721178008,71.15331,1.01868138626699,74.95978,00:00.2,204
0.0,59.981,0.871484711882492,-122.5629,4.3246509948018,-107.33,2.69547026830756,-96.59025,1.02397974655602,-173.71255,1.02676141693989,70.92794,1.01872356607194,74.74015,00:00.2,204
0.0,59.981,0.871940170230799,-122.80624,4.32671794629326,-107.56737,2.69621978471569,-96.78512,1.02402641046479,-173.92901,1.02679313731675,70.71403,1.01875525748087,74.51097,00:00.3,204
0.00895,59.981,0.872070378016284,-123.01389,4.32604222823991,-107.80317,2.69330800639028,-96.98406,1.02407144689845,-174.14499,1.02685651988359,70.49057,1.01877632865711,74.28943,00:00.3,204
0.01,59.982,0.871966522517811,-123.18601,4.32537403941142,-107.99597,2.69257599841773,-97.21684,1.02412622980794,-174.35651,1.02690933613724,70.28623,1.01888204942369,74.0698,00:00.3,204
0.0014,59.982,0.871656629183473,-123.32713,4.32609045113247,-108.19758,2.69038403789127,-97.4348,1.02418854161595,-174.56655,1.02697263169991,70.07806,1.01898770266539,73.86352,00:00.4,204
0.0,59.982,0.871346257803112,-123.46402,4.32679766046758,-108.40227,2.68893221211976,-97.69467,1.02425883586878,-174.77593,1.02704660844337,69.86987,1.01913567984879,73.63816,00:00.4,204
0.0065,59.982,0.871280466719212,-123.60948,4.32751789655681,-108.62786,2.68745875476571,-97.92174,1.02433073600884,-174.98174,1.02711012932326,69.66552,1.01920962672065,73.42617,00:00.4,204
0.0,59.982,0.871387011226564,-123.75696,4.32753205867024,-108.8144,2.68310022990777,-98.12004,1.02439434193493,-175.1853,1.02716291937022,69.46117,1.01935755209313,73.21036,00:00.5,204
0.0,59.982,0.871806914901919,-123.93539,4.32606069276754,-109.00599,2.68091627665221,-98.3436,1.02446815606644,-175.38718,1.02721579084868,69.25491,1.01945267301,73.00218,00:00.5,204
0.00637,59.983,0.872618099247009,-124.16396,4.32826149714542,-109.20274,2.67871529300707,-98.58042,1.02456592601695,-175.58579,1.02724748225761,69.05437,1.01952664598814,72.77873,00:00.5,204
0.0,59.983,0.873371440023329,-124.40399,4.3289638065088,-109.40113,2.67577901482298,-98.80781,1.02465064132481,-175.78253,1.02725815269467,68.85193,1.01961123814467,72.56483,00:00.6,204
0.0,59.982,0.873921850262933,-124.62372,4.32970686929562,-109.59015,2.67212076763282,-99.02559,1.02470323185961,-175.97951,1.02723680915972,68.64948,1.01970628325293,72.34901,00:00.6,204
0.0,59.982,0.874647643637184,-124.85096,4.33042262370339,-109.79162,2.66922494409342,-99.24118,1.02475477849491,-176.17711,1.02726860981336,68.45276,1.01978024804776,72.14084,00:00.6,204
0.0,59.983,0.875498326534915,-125.0935,4.33122424712803,-109.98167,2.66557858829808,-99.47625,1.02478836843234,-176.3776,1.02727917336532,68.2465,1.01987540501136,71.93267,00:00.7,204
0.0,59.98255,0.876099230385686,-125.3205,4.33190701636022,-110.16399,2.66338011439457,-99.7149,1.02477711286334,-176.58433,1.02728962787338,68.05359,1.01995986728919,71.71876,00:00.7,204
0.0,59.98226,0.876708081751588,-125.55234,4.33341017232344,-110.36638,2.65902015539856,-99.94423,1.02474335449024,-176.79631,1.02726860961254,67.8397,1.02001271241035,71.5125,00:00.7,204
-0.00767,59.982,0.877426166633721,-125.79842,4.33408684646884,-110.56028,2.65683237777481,-100.19612,1.02471057148766,-177.00898,1.02722635440063,67.63343,1.02008665928222,71.28904,00:00.8,204
0.0,59.982,0.87769996749333,-126.01072,4.33557679641068,-110.75417,2.6517099353723,-100.45673,1.02466362186581,-177.22318,1.02718404697618,67.42144,1.02015004204988,71.06559,00:00.8,204
0.0,59.98167,0.877713173514713,-126.22015,4.33846580779425,-110.94776,2.64955992338435,-100.69932,1.02461860410817,-177.44193,1.02713122826252,67.20944,1.02021355208562,70.84977,00:00.8,204
-0.01,59.981,0.878168990397537,-126.48902,4.33918066586573,-111.16724,2.64736957626323,-100.88535,1.02461415680415,-177.66093,1.0270467466058,66.9898,1.02016062407704,70.63396,00:00.9,204
0.0,59.981,0.878677571610138,-126.77841,4.3413604362186,-111.37413,2.64517881085183,-101.17602,1.0246283818111,-177.87815,1.02698333497063,66.76254,1.02019234179306,70.39904,00:00.9,204
0.0,59.981,0.87869806783337,-127.03324,4.34137585320284,-111.58831,2.64370995469075,-101.42544,1.02464378330729,-178.09733,1.02687764502953,66.53909,1.02017118788002,70.18132,00:00.9,204
-0.00394,59.981,0.878464721618447,-127.2504,4.34212554887823,-111.8021,2.63936385902941,-101.63428,1.02464643093522,-178.31983,1.02680367245303,66.31563,1.02009722308519,69.95405,00:01.0,204
0.0,59.981,0.878147000280484,-127.44386,4.34211539040025,-112.01136,2.63862067673108,-101.90796,1.02461702764071,-178.54698,1.02677208747736,66.09027,1.02011835059074,69.71914,00:01.0,204
-0.00964,59.98,0.877562768284761,-127.63254,4.3413771678294,-112.23817,2.63785221774928,-102.16556,1.02457911229547,-178.78144,1.02670859827643,65.85153,1.0200760376438,69.48613,00:01.0,204
-0.01,59.97982,0.876983735039537,-127.84217,4.3406335672408,-112.47116,2.63859743174321,-102.42348,1.02454084195511,-179.02205,1.02664518910127,65.61089,1.01995995871135,69.23785,00:01.1,204
