Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
0,NaN,60,-14.2979,1.3918237054395,-17.5802,1.00674224372689,NaN,60,-31.89219,1.70968469259655,-21.61727,1.00346577251491,NaN,60,-28.51899,1.94737431417171,-21.62204,1.0031141619838
0.033,NaN,60,-14.04979,1.39030238372741,-17.57925,1.00674156521482,NaN,60,-31.95327,1.70974582273173,-21.66504,1.00336164734366,NaN,60,-28.59407,1.9498020111432,-21.66961,1.00304024719253
0.067,NaN,60,-14.79023,1.38295260539275,-17.57668,1.00672279490491,NaN,59.997,-32.03373,1.71232225177209,-21.76616,1.00343533576342,NaN,59.997,-28.69343,1.9488099461342,-21.77357,1.00309900428004
0.1,NaN,60,-14.43019,1.39178002398416,-17.57805,1.00670093672494,NaN,59.998,-32.03373,1.71232225177209,-21.75926,1.0034932748711,NaN,59.998,-28.69343,1.9488099461342,-21.76649,1.00313571446935
0.133,NaN,60,-14.54108,1.38137965471019,-17.57544,1.00669888582617,NaN,60,-32.06613,1.71077648995707,-21.73371,1.0033263286187,NaN,60,-28.63983,1.94885231296298,-21.74301,1.00301476360431
0.167,NaN,60,-14.47995,1.3961594633556,-17.56954,1.00673385196583,NaN,60,-32.06613,1.71077648995707,-21.69579,1.00332046158526,NaN,60,-28.59407,1.9498020111432,-21.70187,1.00304945397136
0.2,NaN,60,-14.22848,1.38585171549856,-17.56505,1.00663644725212,NaN,60.001,-31.98564,1.70819874629015,-21.68675,1.00334357271572,NaN,60.001,-28.59407,1.9498020111432,-21.69265,1.00305134793126
0.233,NaN,60,-14.90535,1.39011522870945,-17.56576,1.00663716045542,NaN,60,-32.04185,1.70552037393541,-21.67694,1.00334991654007,NaN,60,-28.61191,1.94729525731068,-21.68187,1.00307097241834
0.267,NaN,60,-14.36483,1.39457163349058,-17.56124,1.00668773247326,NaN,60,-32.07438,1.70397479138766,-21.66799,1.00331070100202,NaN,60,-28.61061,1.94547204953513,-21.67434,1.00299850311133
0.3,NaN,60,-14.2979,1.3918237054395,-17.55792,1.00664764644162,NaN,60,-32.04783,1.70054110631675,-21.66043,1.0032896564843,NaN,60,-28.63635,1.94387119291598,-21.66536,1.00301068028198
0.333,NaN,60,-14.30229,1.40058850000192,-17.5582,1.00667078041507,NaN,60,-32.10214,1.69968701734111,-21.65305,1.00328984911847,NaN,60,-28.58915,1.94299786258791,-21.65912,1.00301875957103
0.367,NaN,60,-14.90535,1.39011522870945,-17.55385,1.0066589671257,NaN,60,-32.10214,1.69968701734111,-21.64822,1.00326470260239,NaN,60,-28.58915,1.94299786258791,-21.6539,1.00300251996307
0.4,NaN,60,-14.2979,1.3918237054395,-17.55496,1.00659725184603,NaN,60,-32.19633,1.6982113490242,-21.64293,1.00325952492518,NaN,60,-28.69009,1.94382864681994,-21.64768,1.00295930338765
0.433,NaN,60,-14.22848,1.38585171549856,-17.54906,1.00663238752585,NaN,60,-32.24837,1.69918381414626,-21.66861,1.00318272764993,NaN,60,-28.73603,1.94288157789285,-21.67203,1.00290478309724
0.467,NaN,60,-14.29136,1.37983287704738,-17.54854,1.00664651975512,NaN,60,-32.19633,1.6982113490242,-21.63156,1.00322665366332,NaN,60,-28.69009,1.94382864681994,-21.63592,1.00293532326973
0.5,NaN,60,-14.83847,1.38412573033292,-17.5406,1.00664862939301,NaN,60,-32.16357,1.69975489987636,-21.62539,1.00322377459324,NaN,60,-28.64291,1.94295382259806,-21.62975,1.00293243651839
0.533,NaN,60,-14.83866,1.38734202397492,-17.53524,1.00665284254384,NaN,60,-32.16357,1.69975489987636,-21.61831,1.00326082572044,NaN,60,-28.64291,1.94295382259806,-21.62401,1.00294720855217
0.567,NaN,60,-15.15339,1.3829483627343,-17.53429,1.00670621074435,NaN,60,-32.10214,1.69968701734111,-21.60995,1.00331200445811,NaN,60,-28.58915,1.94299786258791,-21.61469,1.00301175500695
0.6,NaN,60,-14.36673,1.39779772707604,-17.53429,1.00670621074435,NaN,60,-32.04783,1.70054110631675,-21.60335,1.00327773615921,NaN,60,-28.58915,1.94299786258791,-21.60902,1.00301550863718
0.633,NaN,60,-14.36134,1.38580414991929,-17.53077,1.00668681413491,NaN,60,-32.0766,1.70215224092539,-21.62608,1.00325162275715,NaN,60,-28.63635,1.94387119291598,-21.63185,1.00292703563254
0.667,NaN,60,-14.47995,1.3961594633556,-17.53389,1.00667470072381,NaN,60,-32.07438,1.70397479138766,-21.62119,1.00322083015707,NaN,60,-28.63635,1.94387119291598,-21.62975,1.00293244048453
0.7,NaN,60,-13.86553,1.38598765983632,-17.53142,1.00675815409459,NaN,60,-32.07438,1.70397479138766,-21.61692,1.00324273818998,NaN,60,-28.63635,1.94387119291598,-21.62558,1.002986538757
0.733,NaN,60,-14.72384,1.38574672464079,-17.53278,1.00673641610389,NaN,60,-32.04564,1.70236359702326,-21.61454,1.00328929682018,NaN,60,-28.58915,1.94299786258791,-21.62296,1.00302292964652
0.767,NaN,60,-14.22796,1.38585428499594,-17.53677,1.00675396775289,NaN,60,-32.04564,1.70236359702326,-21.60926,1.00328417200817,NaN,60,-28.58915,1.94299786258791,-21.61919,1.00305139918992
0.8,NaN,60,-14.35727,1.37703929560112,-17.54044,1.0067109972793,NaN,60,-31.95897,1.70476631609006,-21.60785,1.0033174437001,NaN,60,-28.58915,1.94299786258791,-21.61512,1.00304313288959
0.833,NaN,60,-14.54108,1.38137965471019,-17.53892,1.00679522239168,NaN,60,-31.92656,1.70631387057765,-21.61116,1.00330886382326,NaN,60,-28.58915,1.94299786258791,-21.61826,1.00301337786325
0.867,NaN,60,-14.90476,1.38134983658951,-17.54507,1.00680003533414,NaN,60,-31.87456,1.70535012979551,-21.60771,1.00337412403359,NaN,60,-28.58915,1.94299786258791,-21.61543,1.00307989468899
0.9,NaN,60,-14.47323,1.3786167877209,-17.54874,1.00675711581799,NaN,60,-31.84565,1.70374198297451,-21.6074,1.0033373613305,NaN,60,-28.58915,1.94299786258791,-21.61588,1.00305995356294
0.933,NaN,60,-14.47666,1.38739437001443,-17.55848,1.00674803048354,NaN,60,-31.84565,1.70374198297451,-21.60854,1.00334527615004,NaN,60,-28.58915,1.94299786258791,-21.61543,1.00307989468899
0.967,NaN,60,-14.72198,1.3769688435685,-17.56379,1.00676049758443,NaN,60,-31.84565,1.70374198297451,-21.61044,1.00336996927044,NaN,60,-28.58915,1.94299786258791,-21.61917,1.00310277256994
1,NaN,60,-14.47666,1.38739437001443,-17.57213,1.00679001469225,NaN,60,-31.84565,1.70374198297451,-21.61687,1.00338300955464,NaN,60,-28.56344,1.9445994362761,-21.62325,1.00311103887028
1.033,NaN,60,-14.47666,1.38739437001443,-17.57365,1.0067058162886,NaN,59.998,-31.92656,1.70631387057765,-21.67553,1.00338316212572,NaN,59.998,-28.58915,1.94299786258791,-21.68091,1.00308427301221
1.067,NaN,60,-14.65657,1.382978658901,-17.57952,1.00681880810406,NaN,59.996,-31.98776,1.70637613607213,-21.75701,1.00352062485704,NaN,59.996,-28.69009,1.94382864681994,-21.76222,1.00325204894206
1.1,NaN,60,-14.47323,1.3786167877209,-17.58167,1.00686008784504,NaN,59.998,-32.04185,1.70552037393541,-21.75286,1.00355785420975,NaN,59.998,-28.69009,1.94382864681994,-21.75891,1.00326042042055
1.133,NaN,60,-14.65366,1.37098454394247,-17.58171,1.00684336773104,NaN,60,-31.99573,1.6995740789682,-21.73019,1.00345953908997,NaN,60,-28.64164,1.94113061482251,-21.73669,1.00316300481249
1.167,NaN,60,-14.65366,1.37098454394247,-17.58714,1.00681024539712,NaN,60,-31.99573,1.6995740789682,-21.69418,1.00347845946075,NaN,60,-28.63942,1.93797282206256,-21.70084,1.00320304967655
1.2,NaN,60,-14.9715,1.38411240480003,-17.59384,1.00678431147568,NaN,60,-32.08495,1.69535060211173,-21.72029,1.00343345947545,NaN,60,-28.68549,1.9370243189974,-21.72556,1.00313999655079
1.233,NaN,60,-14.65366,1.37098454394247,-17.58922,1.00682657291293,NaN,60,-32.05606,1.69373928823583,-21.68908,1.00349440542334,NaN,60,-28.68425,1.93520111122185,-21.69397,1.00320976938102
