Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
0,0,60.013,-58.42997,5.12803093978916,119.88542,1.03589278834556,-0.00245,60.0139,-3.45105,0.860394641708995,-132.34973,1.02653230381949,0,60.013,-50.36915,2.18080418714841,122.16578,1.01874523181855
0.033,0,60.014,-58.2622,5.12584489508224,120.0535,1.03595615083065,-4e-05,60.01439,-3.31677,0.860060069248726,-132.17837,1.026568536264,0.02,60.015,-50.22413,2.18081530171845,122.3434,1.01881917859
0.067,0,60.013,-58.08991,5.12658736031154,120.22538,1.03598784223958,-0.00589,60.01383,-3.20229,0.859558598970715,-132.00957,1.02654836670807,-0.01,60.013,-50.04986,2.1800655462873,122.51529,1.01884030614576
0.1,0,60.013,-57.93338,5.12439737172493,120.39345,1.03600908059638,-0.00386,60.01358,-3.05336,0.859499500531136,-131.84625,1.02653256899898,0,60.014,-49.86806,2.17860517544313,122.68145,1.01884030614576
0.133,0,60.013,-57.77851,5.12439761074794,120.5596,1.03604079806138,0.00447,60.01412,-2.86654,0.859880921501648,-131.6794,1.02656984950995,0,60.013,-49.68673,2.17643843184438,122.84569,1.01885087557162
0.167,0.01,60.014,-57.60117,5.12513977719848,120.73531,1.03609353263252,0.00434,60.01462,-2.6758,0.861026857574266,-131.50589,1.02657651599779,0,60.014,-49.53997,2.17278795290209,123.01375,1.01889312526105
0.2,0,60.014,-57.41987,5.12586150718154,120.91674,1.03610414302515,0.00316,60.01491,-2.52029,0.862317522080313,-131.32819,1.02654265676411,0,60.013,-49.41548,2.17207112289077,123.18564,1.01892481677039
0.233,0,60.014,-57.25143,5.12513690892234,121.08863,1.03614639818686,0.00775,60.01512,-2.39496,0.862687171167512,-131.14755,1.02656730339526,0.01,60.014,-49.28207,2.17280002356417,123.35944,1.01899884607784
0.267,0,60.014,-57.06775,5.12508342752353,121.26052,1.03615696198984,0.00811,60.01493,-2.22533,0.86251752458514,-130.96718,1.02668752976102,0,60.014,-49.17559,2.17350585851697,123.53133,1.01903053768759
0.3,0,60.014,-56.89087,5.12731739634424,121.44005,1.03619917061209,0.00256,60.01455,-1.97835,0.862465656591656,-130.79099,1.02682282893496,0,60.014,-48.99179,2.17203670357712,123.70895,1.01906228145968
0.333,0,60.015,-56.70185,5.12803691536444,121.62148,1.03623090861068,-0.00022,60.01459,-1.73439,0.862455438357917,-130.6165,1.02690245738531,0,60.014,-48.84121,2.16840134284031,123.87129,1.01911509384759
0.367,0,60.015,-56.51123,5.13020969429423,121.80483,1.03625203621663,-0.00102,60.01474,-1.56021,0.862104074531094,-130.44013,1.02694167036294,0,60.014,-48.69825,2.16622013834938,124.047,1.01919963730589
0.4,0,60.014,-56.32546,5.13242167299789,121.98245,1.03624147246386,-0.0039,60.01447,-1.41683,0.861426145514884,-130.26499,1.0269694697282,0,60.014,-48.55258,2.16328708697594,124.21697,1.01923133323321
0.433,0,60.014,-56.15576,5.13311985921432,122.15433,1.03626260022043,-0.00511,60.01408,-1.25074,0.860481287550644,-130.09456,1.02701353074114,0,60.014,-48.4127,2.16036532943979,124.38504,1.01926302022416
0.467,0,60.014,-55.97389,5.13311854458775,122.33767,1.03626260006981,-0.003,60.01405,-1.07625,0.858829638541562,-129.92603,1.02707833675252,0,60.014,-48.25475,2.15818729200376,124.56647,1.01929471610128
0.5,0,60.015,-55.76763,5.13607537875083,122.52295,1.03627314359023,-0.00344,60.01402,-0.91274,0.856733167708183,-129.75743,1.02712020965814,0,60.014,-48.07124,2.15453352649507,124.73072,1.01930522472965
0.533,0,60.014,-55.59406,5.13753521179323,122.69483,1.03625201608468,-0.00647,60.01366,-0.7473,0.855401988801695,-129.5919,1.02711474877807,-0.01,60.013,-47.88887,2.15016305048656,124.90261,1.0193053298074
0.567,0,60.014,-55.42009,5.13971336874077,122.86862,1.03624153662505,-0.00488,60.01366,-0.59335,0.855132490356292,-129.42852,1.02704617623394,0,60.014,-47.73481,2.14724607341064,125.06686,1.01934753094921
0.6,0,60.014,-55.23523,5.13969167740248,123.04051,1.03623079685575,-0.00122,60.01387,-0.45462,0.855349702517942,-129.26275,1.02691134114921,0,60.013,-47.60461,2.14432270246917,125.23302,1.01933696704582
0.633,0.01,60.015,-55.05914,5.14188112818731,123.22576,1.03619921725195,-0.00381,60.01342,-0.31897,0.856240720548854,-129.09928,1.02672343291507,0.02,60.015,-47.46801,2.14140823513487,125.41064,1.01925245642118
