Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
0,0.01,59.968,-70.94576,5.05499895253611,108.00217,1.02309455498086,6e-05,59.96986,134.42017,3.26383758969218,124.62492,1.01526412789064,0,59.967,-59.06838,2.08142152628894,109.46713,1.0205522013542
0.033,0,59.968,-71.34071,5.05135349307707,107.62019,1.02318979724168,-0.00345,59.97005,134.0667,3.2666658294751,124.26428,1.01506223020845,0,59.968,-59.41658,2.08509393559252,109.08898,1.02052044894696
0.067,0,59.967,-71.74565,5.05138713556593,107.23249,1.02323194366072,-0.0008,59.97058,133.70693,3.2694560645992,123.90976,1.0149481714497,0,59.968,-59.7501,2.08874118772416,108.71082,1.02047819368484
0.1,0,59.968,-72.12715,5.05065602392967,106.85433,1.02327422517972,0.00119,59.97041,133.34064,3.27172266006097,123.55623,1.01493779867435,0.02,59.969,-60.07734,2.0916566111505,108.3384,1.02047819373505
0.133,0,59.968,-72.51914,5.04993931342985,106.48001,1.02333771648923,-0.00128,59.9697,132.97321,3.27319056013,123.1945,1.0149404878715,0,59.969,-60.43983,2.09312092587436,107.97553,1.02047820041223
0.167,0,59.968,-72.89324,5.0484553390633,106.10949,1.02335873520191,-0.00307,59.96935,132.60131,3.27406502581737,122.82715,1.01495586783001,0,59.968,-60.76801,2.0953000986697,107.59738,1.02044652361277
0.2,0.01,59.969,-73.25825,5.04917240809763,105.7447,1.02341172114633,-0.00706,59.96888,132.23221,3.27384918803804,122.45521,1.01493746084914,0,59.969,-61.18466,2.09747837512875,107.22686,1.02052044909757
0.233,0,59.969,-73.62457,5.04994248048476,105.37802,1.02341154693716,-0.01241,59.96851,131.86623,3.27325288538024,122.07775,1.01489672426925,0,59.969,-61.53574,2.09601417991639,106.85444,1.020499321341
0.267,0,59.968,-73.99291,5.05056740614818,105.00178,1.02339053540371,-0.01116,59.96855,131.50489,3.27332256058807,121.69981,1.01481761834599,0,59.969,-61.92402,2.09601083359423,106.4782,1.02049937666622
0.3,0,59.969,-74.35814,5.05209619732938,104.62936,1.02336940789817,-0.00945,59.96813,131.15442,3.27306130843657,121.31901,1.01461966592412,0,59.968,-62.27357,2.09600437997292,106.10769,1.0204887641148
