Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
0,-0.005,59.99822,-73.95703,1.30994051680541,-82.35449,1.01070938124336,-0.003,59.99823,81.68408,0.332358267907859,-88.89111,0.999619231733952,-0.0045,59.99817,107.085,5.65170388606555,-82.29541,1.00984235175215
0.033,-0.006,59.99804,-73.9585,1.30910035092018,-82.38428,1.01069833628169,-0.0045,59.99809,81.70898,0.332217274499967,-88.9209,0.999602346765856,-0.005,59.99799,107.0547,5.64848245342881,-82.32471,1.00983984153359
0.067,-0.007,59.99781,-73.98486,1.30748395780529,-82.41504,1.01066670752781,-0.006,59.99787,81.7207,0.332116342472029,-88.9502,0.999602346765856,-0.007,59.9978,107.0444,5.64754906856912,-82.35645,1.00978562081266
0.1,-0.0035,59.99763,-74.00977,1.30506205714183,-82.4458,1.01068929949487,-0.005,59.9977,81.77344,0.332301644049268,-88.979,0.999602346765856,-0.0035,59.99761,106.9985,5.6470118643509,-82.38623,1.00982578430964
0.133,-0.003,59.99755,-74.00537,1.30711645992519,-82.47412,1.01067072387751,-0.0035,59.99757,81.66162,0.332009889617878,-89.00928,0.999594760765697,-0.0009,59.9976,106.9634,5.64395416247699,-82.41357,1.00983080474677
0.167,0,59.99753,-74.13672,1.3080731495285,-82.50244,1.01072092824874,0,59.99757,81.60986,0.331683594632748,-89.03516,0.999606996249824,0,59.99758,106.9551,5.64143306726378,-82.44043,1.00986243350064
0.2,0.0002,59.99753,-74.14014,1.30605997821461,-82.53223,1.01074100999724,0,59.99757,81.66211,0.331769379778514,-89.06445,0.999623758863079,-0.0007,59.99755,106.8994,5.63842197487711,-82.47168,1.00985741306352
0.233,0.0004,59.99754,-74.11865,1.30556998104115,-82.56299,1.01074201408466,-0.0003,59.99757,81.54736,0.331885458688625,-89.09424,0.99960846450792,0.0012,59.99757,106.8677,5.63793197770365,-82.50195,1.00987849889944
0.267,-0.0008,59.99754,-74.26123,1.30466527894283,-82.59375,1.01069934036911,-0.0012,59.99752,81.53809,0.331966997044996,-89.12549,0.99960846450792,-0.0025,59.99753,106.8174,5.63783875872918,-82.53369,1.00982076387252
0.3,-0.002,59.99746,-74.24219,1.30403485575014,-82.62891,1.01070586693737,-0.0018,59.99749,81.47021,0.332190944405723,-89.16064,0.999587052410696,-0.0035,59.99742,106.7944,5.63639147439489,-82.56738,1.00984586605814
0.333,0,59.99742,-74.3208,1.30577434571593,-82.65967,1.01070436080624,-0.0025,59.99737,81.46094,0.33190895758994,-89.19385,0.999576407539505,0,59.99737,106.7446,5.63643808388212,-82.59863,1.0098157434354
0.367,0.001,59.99743,-74.28223,1.3027453266034,-82.68945,1.01071339759306,0.0002,59.99733,81.51465,0.331712614360276,-89.2251,0.999611523378951,0.002,59.99739,106.7305,5.632446399591,-82.62891,1.00984335583957
0.4,0.0004,59.99747,-74.30859,1.30341638370803,-82.71826,1.01073699364754,0,59.99733,81.38867,0.332161924678195,-89.25293,0.999634526089111,0.0002,59.99741,106.7144,5.63263343509745,-82.65771,1.00988251524914
0.433,0.0025,59.99752,-74.37939,1.29996190363513,-82.74658,1.01072193233617,0.0035,59.99742,81.36182,0.332157819448447,-89.28076,0.999626817734111,0.0025,59.9975,106.6753,5.6284553128574,-82.68457,1.00985590693238
0.467,0,59.99752,-74.37939,1.29899326288125,-82.7793,1.01068829540744,0,59.99744,81.34766,0.332290602396843,-89.31396,0.999565640313473,0,59.99751,106.6401,5.62707794275395,-82.71729,1.00980821277971
0.5,-0.0006,59.99751,-74.45459,1.29912771332519,-82.81055,1.01066821365895,0.0004,59.99745,81.33105,0.332258751476385,-89.34717,0.999588643023633,-0.0009,59.99749,106.6064,5.62955242847993,-82.74902,1.0098157434354
0.533,0.0008,59.99755,-74.396,1.302914435384,-82.83691,1.01069934036911,0.0016,59.99752,81.29004,0.332029283289446,-89.37598,0.999588643023633,0.0016,59.99755,106.5796,5.63317004175814,-82.77734,1.00984988240783
0.567,0.003,59.99762,-74.46045,1.30207426949877,-82.86182,1.01074703452178,0.0006,59.99755,81.20459,0.331726487205631,-89.39941,0.999606996249824,0.002,59.9976,106.5264,5.63464063083606,-82.80127,1.00986343758807
0.6,0.0035,59.99772,-74.45752,1.30044054721555,-82.88135,1.01078217758165,0.005,59.99766,81.2915,0.331783252623868,-89.4165,0.999645170960302,0.006,59.99769,106.5068,5.63134928396847,-82.81934,1.0098850254677
