Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
0.767,0,59.977,97.75071,1.02155566815244,-76.09997,1.01542793963313,0.00708,59.9786,-59.06422,2.66859673186359,-66.50316,1.04225536508162,0.01185,59.97803,133.25617,0.604745309099916,34.6319,1.02116659742892
0.8,0,59.977,97.6137,1.02154867672936,-76.36735,1.01543850931002,0.00613,59.97869,-59.32158,2.6697728445914,-66.75901,1.04220610490399,0.01007,59.97804,133.01567,0.604783552781747,34.36824,1.02116710007509
0.833,0,59.978,97.45157,1.02225606533173,-76.62518,1.01541735549738,0.00407,59.9788,-59.5879,2.67042334571705,-67.0138,1.04224522595742,0.00931,59.97858,132.84054,0.605253651289506,34.10828,1.02115846617835
0.867,0.02,59.979,97.20627,1.02373842629295,-76.87728,1.015449073113,0.00416,59.97884,-59.85701,2.67019884335355,-67.26809,1.04237245412602,0.01105,59.97924,132.64546,0.605933791268571,33.85657,1.02115415879391
0.9,0.01,59.979,96.89724,1.02375390303294,-77.12939,1.01553358373764,0.00368,59.979,-60.11853,2.66944801231885,-67.52062,1.04250814921162,0.01066,59.97951,132.43076,0.606393073985062,33.6095,1.02116872925714
0.933,0,59.979,96.5742,1.02595088304264,-77.38149,1.0155969929128,0.0034,59.97917,-60.36716,2.66839923910039,-67.77113,1.04261575113599,0.01315,59.98022,132.21087,0.606610226390959,33.36844,1.02122592880424
0.967,0,59.978,96.36898,1.02302679503213,-77.62213,1.01566040208796,0.00462,59.97947,-60.61025,2.66726220663494,-68.01877,1.04272147842914,0.01967,59.98132,131.94193,0.606760870643922,33.13947,1.021311674356
1,0.01,59.98,96.12169,1.02446087334504,-77.86277,1.01574493891928,0.00602,59.9798,-60.84963,2.66649560008149,-68.26212,1.04279731157964,0.01977,59.98187,131.60945,0.607046981188621,32.91998,1.02137658680064
1.033,0.01,59.98,95.85661,1.02448441711167,-78.09004,1.01584001696161,0.00616,59.97987,-61.07522,2.6659015681423,-68.50365,1.04276903336509,0.0176,59.98217,131.1994,0.607339485598876,32.70448,1.02143086119005
1.067,0,59.98,95.67893,1.02370860817227,-78.33259,1.01588229486589,0.00316,59.97952,-61.29109,2.66490627632264,-68.74819,1.04265921090138,0.01956,59.98277,130.71027,0.607276742058372,32.49488,1.02150182933616
1.1,0,59.98,95.45136,1.02080447858322,-78.55986,1.01595623375526,-0.00021,59.97913,-61.50915,2.66306986252571,-68.99828,1.04256289245965,0.01667,59.983,130.24254,0.607028098370717,32.29046,1.02156415088382
1.133,0,59.98,95.24618,1.01718082997397,-78.80243,1.01601967706939,0.00272,59.97992,-61.7419,2.66138791734993,-69.24241,1.04261125237249,0.00707,59.9825,129.89288,0.606842257979319,32.08308,1.02161139289593
