Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
0,0.0045,60.00343,-72.41211,1.31449808807613,116.9907,1.04186621403111,0.0045,60.00348,-69.271,0.56659717671762,116.9468,1.04216643617108,0.006,60.00356,136.0513,0.110374552331022,117.1182,1.04202937823762
0.033,-0.0009,60.00351,-72.51563,1.31726418187607,117.0342,1.04176078485151,-0.0018,60.00354,-69.40576,0.567101933562038,116.9883,1.04205197020467,-0.006,60.00348,137.124,0.118064281143709,117.1572,1.04192545518916
0.067,-0.001,60.00347,-72.50098,1.31717693847689,117.064,1.04169049873179,-0.002,60.00348,-69,0.566550507474636,117.0195,1.04196913299213,-0.0003,60.00344,141.8252,0.109933973165177,117.1919,1.04184864250117
0.1,-0.003,60.00336,-72.34912,1.31640071124722,117.1045,1.04178488294971,-0.0035,60.00333,-69.20801,0.565412578672901,117.0586,1.0420735580843,-0.005,60.00333,138.4536,0.106531839131782,117.2314,1.04191792453348
0.133,0.006,60.00348,-72.47412,1.31131191133357,117.1514,1.04190888774665,0.005,60.00343,-69.16699,0.56550298912698,117.105,1.04219404857526,0.0035,60.00338,138.7354,0.10655520363115,117.2759,1.04206201107892
0.167,-0.005,60.00343,-72.46484,1.31311533995492,117.1919,1.04198319021608,-0.0045,60.00342,-69.45752,0.568330332573604,117.147,1.04226935513211,-0.0045,60.00333,137.5024,0.105939540109422,117.3164,1.04214233807289
0.2,0.005,60.00348,-72.37256,1.30925213053245,117.2363,1.04202937823762,0.005,60.00348,-69.40576,0.564067476675997,117.1904,1.04233964125184,0.007,60.00343,137.3667,0.104897877825547,117.3608,1.04219003222556
0.233,0.004,60.00365,-72.18848,1.30746662863696,117.2813,1.04206703151604,0.003,60.00362,-69.36719,0.564855236765965,117.2349,1.04235972300033,0.005,60.0036,135.2197,0.104005784191083,117.4072,1.04222768550399
0.267,-0.001,60.00366,-72.21436,1.30850518362168,117.3232,1.04206351721005,0,60.00365,-69.19727,0.56451385214987,117.2773,1.04235570665064,0,60.00365,136.9541,0.103645457001331,117.4492,1.04221664054232
0.3,-0.004,60.00352,-72.26025,1.30700531422487,117.3584,1.04198670452207,-0.0025,60.00356,-69.2085,0.566454181201024,117.314,1.04225529790817,-0.005,60.0035,137.5474,0.101761298357866,117.4849,1.04213631354834
