Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
0,NaN,59.976,-171.13274,5.1889199605033,-165.88172,1.01721801097988,NaN,59.976,-173.36362,6.25340386273241,-165.87701,1.01762750022281,0,59.976,-89.92768,4.09978579437117,87.59705,1.02716386973897
0.033,NaN,59.974,-171.4683,5.192751439621,-166.22845,1.0171352444551,NaN,59.974,-173.71098,6.2577928630243,-166.22194,1.01750213749803,0,59.976,-90.19341,4.10269291174787,87.3163,1.0271215886216
0.067,NaN,59.973,-171.8494,5.19548646042945,-166.59019,1.01716885949472,NaN,59.973,-174.06763,6.26388842786216,-166.58527,1.01753587644204,0,59.976,-90.48036,4.10343501844265,87.02982,1.0271321526254
0.1,NaN,59.974,-172.11854,5.19800134104437,-166.8741,1.01710992167147,NaN,59.974,-174.34509,6.27107041204279,-166.87022,1.0174827249236,0,59.975,-90.7258,4.10636054059122,86.73761,1.02704758953719
0.133,NaN,59.975,-172.43416,5.20165863214248,-167.1756,1.01697998628236,NaN,59.975,-174.66014,6.27684496897627,-167.17223,1.01735283356372,0,59.975,-90.99578,4.10778362384561,86.45113,1.02697364321758
0.167,NaN,59.976,-172.70824,5.21030003107523,-167.43822,1.01687892794553,NaN,59.976,-174.92273,6.28538830871858,-167.4323,1.01730225215766,0,59.976,-91.25671,4.11001048173173,86.16274,1.02688913650888
0.2,NaN,59.976,-172.98823,5.21463638654886,-167.73371,1.01681729600511,NaN,59.976,-175.22842,6.29182938131948,-167.72629,1.01720145242354,-0.01,59.975,-91.53209,4.11148017447335,85.86671,1.0268257236688
0.233,NaN,59.976,-173.29021,5.21726534089598,-168.03007,1.01678756392217,NaN,59.976,-175.49413,6.29537492915975,-168.02422,1.01718371918533,0,59.975,-91.81813,4.11143547717021,85.56496,1.02673071174563
0.267,NaN,59.975,-173.61177,5.21983609313982,-168.36447,1.01671657499145,NaN,59.975,-175.82248,6.30037493202465,-168.35814,1.01705359678493,-0.01,59.974,-92.0955,4.11203446883689,85.26319,1.02664609026974
0.3,NaN,59.974,-173.89695,5.22383847371071,-168.66882,1.01663476250034,NaN,59.974,-176.09311,6.30351121271356,-168.66495,1.01699482950594,0,59.974,-92.36476,4.11363341327195,84.96144,1.02652985886661
